Designator,Qty,Comment,LCSC
Y1,1,8MHz Crystal SMD 3225 10-15pF load capactianc,C133366
U5,1,CAT24C32,C81193
"U3, U4",2,,C7512
U2,1,MCP1700-3302E,C39051
U1,1,ATMEGA32U4-AU,C44854
"RV1, RV2",2,Varistor 0603,C20956
"R5, R8, R20",3,resistor 10K 0603,C25804
"R9, R10, R12, R16",4,resistor 47K 0603,C25819
"R3, R4",2,resistor 22 0603,C176129
"R6, R7, R11, R13",4,resistor 10K 0603,C25804
"R21, R22",2,resistor 3.9K 0603,C23018
"R14, R15, R17, R18",4,resistor 1K 0805,C17513
"R1, R2",2,resistor 1.5K 0805,C4310
"Q3, Q4, Q6, Q8",4,DMG2305UX,C144153
"Q1, Q2, Q5, Q7",4,DMMT5401,C154733
"L1, L2",2,ferrite bead 0805,C1017
F2,1,3A Polyfuse 1210,C315895
"F1, F3, F4, F5",4,1A Polyfuse 1206,C369154
D5,1,led YELLOW 0805,C2296
D4,1,led GREEN 0805,C2297
D3,1,led BLUE 0805,C2293
D2,1,led RED 0805,C84256
D1,1,CD1206-S01575,C75465
"C8, C9, C14, C15",4,capacitor 1uF 0805,C28323
"C2, C3",2,capacitor 22pF 0805,C1804
"C12, C11, C5, C4",4,capacitor 10uF 0805,C15850
"C1, C6, C7, C10, C13",5,capacitor 100nF 0805,C49678
"J1, J2",2,micro usb,C136000
